instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
List a low-sodium recipe under 61mg sodium.,"Easy Lemonade - 60.1mg sodium, 134.8 calories, 30 minutes prep time.",Easy Lemonade,True,exact,False,True,False,"{'calories_max': 61.0, 'sodium_max': 61.0}","{'calories': 134.8, 'sodium': 60.1, 'duration': 30.0}",[],"Easy Lemonade - 161 calories, 1.0g protein, 4mg sodium, ready in 3 minutes, serves 8. Ingredients: {'': [('water', '1  time(s) pint '), ('lemons (or to your liking)', '6  time(s) '), ('sugar', '1 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Mushroom and Chive Quiche - 235.6 calories, 13.7g protein, 15.3g fat, 11.3g carbs.",Mushroom and Chive Quiche,True,fuzzy,True,True,False,{'balanced': True},"{'calories': 235.6, 'protein': 13.7, 'carbs': 11.3, 'total_fat': 15.3}",[],"Mushroom and Spinach Quiche - 286 calories, 33.7g protein, 589mg sodium, ready in 60 minutes, serves 1. Ingredients: {'': [('whites', '4  time(s) egg '), ('low-fat cheddar cheese, shredded', '1  time(s) ounce '), ('frozen spinach, steamed', '1 1/2 time(s) cups '), ('mushroom, boiled', '1  time(s) cup '), ('olive oil', '1  time(s) teaspoon '), ('salt and pepper', ' time(s) '), ('cantaloupe, cubed for dessert', '0.75 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 412mg sodium.,"Fruit and Nut Mix - 392.2mg sodium, 144.2 calories, 20 minutes prep time.",Fruit and Nut Mix,True,substring,False,True,False,"{'calories_max': 412.0, 'sodium_max': 412.0}","{'calories': 144.2, 'sodium': 392.2, 'duration': 20.0}",[],"Chai-Cherry Fruit and Nut Mix - 872 calories, 18.4g protein, 151mg sodium, ready in 20 minutes. Ingredients: {'': [('ground cinnamon', '0.5 time(s) teaspoon '), ('cardamom', '0.25 time(s) teaspoon '), ('ground ginger', '0.125 time(s) teaspoon '), ('ground star anise (my addition)', '0.0625 time(s) teaspoon '), ('kosher salt', '0.125 time(s) teaspoon '), ('black pepper', '0.125 time(s) teaspoon '), ('brown sugar', '2  time(s) teaspoons '), ('oil (i tried grape seed oil)', '2  time(s) teaspoons '), ('walnut pieces', '1 1/2 time(s) cups '), ('dried tart cherry (tart not sweet)', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=substring)
List a low-sodium recipe under 493mg sodium.,"Dijon Chicken - 425.6mg sodium, 275.6 calories, 35 minutes prep time.",Dijon Chicken,True,exact,True,True,False,"{'calories_max': 493.0, 'sodium_max': 493.0}","{'calories': 275.6, 'sodium': 425.6, 'duration': 35.0}",[],"Dijon Chicken - 199 calories, 28.6g protein, 432mg sodium, ready in 15 minutes, serves 2. Ingredients: {'': [('dijon mustard', '0.25 time(s) cup '), ('white wine (chardonnay or sauvignon blanc)', '1  time(s) tablespoon '), ('worcestershire sauce', '0.125 time(s) teaspoon '), ('fresh ground black pepper', ' time(s) '), ('finely minced shallot, divided', '1  time(s) tablespoon '), ('real maple syrup, divided', '1 1/2 time(s) tablespoons '), ('boneless skinless chicken breasts', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 3g fiber.,"Greek Potato Salad - 4.6g dietary fiber, 214.9 calories, 41.2g total carbs.",Greek Potato Salad,True,exact,True,True,False,{'fiber_min': 3.0},"{'calories': 214.9, 'fiber': 4.6}",[],"Greek Potato Salad - 286 calories, 3.4g protein, 13mg sodium, ready in 50 minutes, serves 6. Ingredients: {'': [('unpeeled new potatoes, cooked and cooled', '2  time(s) lbs '), ('medium yellow onion, sliced', '1  time(s) '), ('fresh parsley, chopped', '0.5 time(s) cup '), ('olive oil', '0.5 time(s) cup '), ('white wine vinegar', '0.25 time(s) cup '), ('used dried oregano flakes)', '2  time(s) teaspoons oregano, crushed in your hands (or you can '), ('garlic, to rub bowl with', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 1306mg sodium.,"Slow Cooker Chicken Adobo - 1256.2mg sodium, 294.6 calories, 60 minutes prep time.",Slow Cooker Chicken Adobo,True,exact,False,True,False,"{'calories_max': 1306.0, 'sodium_max': 1306.0}","{'calories': 294.6, 'sodium': 1256.2, 'duration': 60.0}",[],"Slow Cooker Chicken Adobo - 814 calories, 66.0g protein, 3281mg sodium, ready in 255 minutes, serves 4. Ingredients: {'': [('medium yellow onions, halved and thinly sliced', '4  time(s) '), ('garlic cloves, smashed', '4  time(s) '), ('inches piece ginger, cut into 1 inch pieces', '5  time(s) '), ('bay leaf', '1  time(s) '), ('chicken thighs, bone in, skin on', '3  time(s) lbs '), ('soy sauce', '0.75 time(s) cup '), ('rice vinegar', '0.25 time(s) cup '), ('sugar', '1  time(s) tablespoon '), ('fresh ground black pepper', '0.5 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 153 calories.,"Gingerbread Cookies - 153.3 calories, 2.1g protein, ready in 45 minutes.",Gingerbread Cookies,True,exact,False,True,False,{'calories_max': 153.0},"{'calories': 153.3, 'protein': 2.1, 'duration': 45.0}",[],"Gingerbread Cookies - 1063 calories, 15.6g protein, 889mg sodium, ready in 80 minutes, serves 6. Ingredients: {'': [('all-purpose flour', '6  time(s) cups '), ('baking soda', '1  time(s) teaspoon '), ('baking powder', '0.5 time(s) teaspoon '), ('unsalted butter, room temperature', '0.5 time(s) lb '), ('dark brown sugar, packed', '1  time(s) cup '), ('ground ginger', '4  time(s) teaspoons '), ('ground cinnamon', '4  time(s) teaspoons '), ('ground cloves', '1 1/2 time(s) teaspoons '), ('finely ground black pepper', '1  time(s) teaspoon '), ('salt', '1 1/2 time(s) teaspoons '), ('large eggs', '2  time(s) '), ('unsulphured molasses', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 98mg sodium.,"Rhubarb Sauce - 70.6mg sodium, 62.1 calories, 30 minutes prep time.",Rhubarb Sauce,True,exact,True,True,False,"{'calories_max': 98.0, 'sodium_max': 98.0}","{'calories': 62.1, 'sodium': 70.6, 'duration': 30.0}",[],"Rhubarb Sauce - 26 calories, 1.1g protein, 6mg sodium, ready in 15 minutes. Ingredients: {'': [('rhubarb, chopped in 1/2 inch pieces', '3  time(s) cups '), ('water', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 30 minutes.,"Cinnamon-Raisin Bread Pudding - Takes 20 minutes, 244.4 calories, serves 4.",Cinnamon,True,substring,False,True,False,{'duration_max': 30.0},"{'calories': 244.4, 'duration': 20.0, 'serves': 4.0}",[],"Cherry Cinnamon Cobbler - 249 calories, 3.0g protein, 182mg sodium, ready in 35 minutes, serves 8. Ingredients: {'': [('cherry pie filling', '1 time(s) (21 ounce) can '), ('container refrigerated cinnamon rolls', '1 time(s) (12 1/2 ounce) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a high-fiber recipe with at least 3g fiber.,"Creamy Chicken and Rice - 4.6g dietary fiber, 475.3 calories, 31.6g total carbs.",Creamy Chicken and Rice,True,exact,False,True,False,{'fiber_min': 3.0},"{'calories': 475.3, 'fiber': 4.6}",[],"Creamy Chicken and Rice - 279 calories, 15.3g protein, 192mg sodium, ready in 40 minutes, serves 8. Ingredients: {'': [('chicken (cubed)', '10  time(s) ounces '), ('nonfat dry milk powder', '0.5 time(s) cup '), ('evaporated milk', '12  time(s) ounces '), ('medium onion', '1  time(s) '), ('mixed vegetables', '15  time(s) ounces '), ('white rice', '1  time(s) cup '), ('water', '1  time(s) cup '), ('garlic cloves', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 406mg sodium.,"Peanut Butter and Jelly Sandwiches - 320.4mg sodium, 166.0 calories, 15 minutes prep time.",Peanut Butter and Jelly Sandwiches,True,substring,False,True,False,"{'calories_max': 406.0, 'sodium_max': 406.0}","{'calories': 166.0, 'sodium': 320.4, 'duration': 15.0}",[],"Frozen Peanut Butter and Jelly Sandwiches OAMC - 434 calories, 13.3g protein, 438mg sodium, ready in 10 minutes, serves 12. Ingredients: {'': [('slices bread', '24  time(s) '), ('jar peanut butter', '1 time(s) (16 ounce) '), ('jar jelly', '1 time(s) (12 3/4 ounce) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
List a low-sodium recipe under 516mg sodium.,"Easy Cornbread - 500.7mg sodium, 95.2 calories, 20 minutes prep time.",Easy Cornbread,True,exact,True,True,False,"{'calories_max': 516.0, 'sodium_max': 516.0}","{'calories': 95.2, 'sodium': 500.7, 'duration': 20.0}",[],"Easy Cornbread - 499 calories, 11.8g protein, 255mg sodium, ready in 40 minutes, serves 4. Ingredients: {'': [('all-purpose flour (i have substituted soy and it has worked)', '1 1/2 time(s) cups '), ('yellow enriched cornmeal', '0.75 time(s) cup '), ('sugar (i use splenda)', '0.25 time(s) cup '), ('baking powder', '2  time(s) teaspoons '), ('salt (optional)', '0.5 time(s) teaspoon '), ('milk', '1  time(s) cup '), ('vegetable oil', '0.25 time(s) cup '), ('eggs, beaten', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 16g protein.,"Chicken Sausage and Apple Skillet - 18.1g protein, 277.1 calories, 20.9g fat, 10.3g carbs.",Chicken Sausage and Apple Skillet,True,fuzzy,False,True,False,{'protein_min': 16.0},"{'calories': 277.1, 'protein': 18.1, 'carbs': 10.3, 'total_fat': 20.9}",[],"Italian Chicken Sausage and Peppers Skillet - 381 calories, 10.0g protein, 198mg sodium, ready in 25 minutes, serves 4. Ingredients: {'': [('italian chicken sausage', '1  time(s) lb '), ('green pepper, sliced into strips', '0.5 time(s) '), ('red pepper, sliced into strips', '0.5 time(s) '), ('yellow pepper, sliced into strips', '0.5 time(s) '), ('onion, diced', '1  time(s) '), ('minced garlic', '1  time(s) tablespoon '), ('extra virgin olive oil', '2  time(s) tablespoons '), ('italian seasoning', '1  time(s) teaspoon '), ('recipe ready tomatoes seasoned with basil garlic & oregano', '1 time(s) (14 1/2 ounce) can '), ('white wine', '0.75 time(s) cup '), ('mini penne pasta, cooked al dente', '0.5 time(s) lb '), ('salt, to taste', ' time(s) '), ('pepper, to taste', ' time(s) '), ('grated parmesan cheese', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a high-fiber recipe with at least 2g fiber.,"Chicken With Spicy Peanut Sauce - 3.7g dietary fiber, 390.4 calories, 23.4g total carbs.",Chicken With Spicy Peanut Sauce,True,substring,True,True,False,{'fiber_min': 2.0},"{'calories': 390.4, 'fiber': 3.7}",['spicy peanut sauce - 3'],"Thai Chicken With Spicy Peanut Sauce - 630 calories, 38.0g protein, 568mg sodium, ready in 20 minutes, serves 4. Ingredients: {'': [('5-minute instant rice', '2 1/2 time(s) cups '), ('boneless skinless chicken breast halves', '4  time(s) '), ('vegetable oil', '2  time(s) teaspoons '), ('instant minced garlic', '1  time(s) tablespoon '), ('bottled chopped ginger', '1  time(s) tablespoon '), ('chopped green onion', '0.75 time(s) cup '), ('sliced bamboo shoots, drained', '1 time(s) (8 ounce) can '), ('unsalted peanuts, chopped', '0.3333333333333333 time(s) cup '), ('reduced sodium soy sauce', '1  time(s) tablespoon '), ('dry sherry', '1  time(s) tablespoon '), ('sugar', '1  time(s) teaspoon ')], 'spicy peanut sauce': [('creamy peanut butter', '1 1/2 time(s) tablespoons '), ('vegetable oil', '2  time(s) tablespoons '), ('reduced sodium soy sauce', '2  time(s) tablespoons '), ('sugar', '2  time(s) tablespoons '), ('rice vinegar or 2 tablespoons $template2$', '2  time(s) tablespoons '), ('dark sesame oil', '0.5 time(s) teaspoon '), ('ground cayenne pepper, to taste', '0.125 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a ingredients recipe under 215 calories.,"Easy Mashed Potatoes - 215.7 calories, 2.5g protein, ready in 25 minutes.",Easy Mashed Potatoes,True,exact,False,True,False,{'calories_max': 215.0},"{'calories': 215.7, 'protein': 2.5, 'duration': 25.0}",[],"Easy Mashed Potatoes - 472 calories, 7.9g protein, 718mg sodium, ready in 50 minutes, serves 2. Ingredients: {'': [('potatoes, peeled and quartered length-wise', '1 1/2 time(s) lbs '), ('salt', '0.5 time(s) teaspoon '), ('heavy cream', '4  time(s) tablespoons '), ('butter', '2  time(s) tablespoons '), ('milk', '1  time(s) tablespoon '), ('salt and pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 77mg sodium.,"Mushroom and Barley Soup - 72.1mg sodium, 161.7 calories, 30 minutes prep time.",Mushroom and Barley Soup,True,exact,False,True,False,"{'calories_max': 77.0, 'sodium_max': 77.0}","{'calories': 161.7, 'sodium': 72.1, 'duration': 30.0}",[],"Mushroom and Barley Soup - 125 calories, 14.0g protein, 38mg sodium, ready in 60 minutes, serves 20. Ingredients: {'': [('lean beef flank steak', '2  time(s) lbs '), ('beef bones with marrow', '6  time(s) '), ('pearl barley (rinsed in strainer with cold water)', '0.5 time(s) cup '), ('packages dried mushroom', '2 time(s) (1/2 ounce) '), ('large onion', '1  time(s) '), ('large carrot', '1  time(s) '), ('parsley root, and top', '1  time(s) '), ('celery ribs, and tops', '6  time(s) '), ('bunch fresh dill', '1  time(s) '), ('fresh mushrooms, cleaned and sliced', '1  time(s) lb '), ('salt and pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 9g protein.,"Raspberry Lemonade - 10.6g protein, 0.2g fat, 0.9g carbs.",Raspberry Lemonade,True,exact,False,True,False,{'protein_min': 9.0},"{'protein': 10.6, 'carbs': 0.9, 'total_fat': 0.2}",[],"Raspberry Lemonade - 184 calories, 0.8g protein, 5mg sodium, ready in 15 minutes. Ingredients: {'': [('sugar', '2  time(s) cups '), ('fresh lemon juice', '3  time(s) cups '), ('cold water', '4  time(s) cups '), ('ice cubes', '5  time(s) cups '), ('frozen raspberries in light syrup, thawed', '1  time(s) pint '), ('lemons, sliced', '3  time(s) '), ('limes, sliced', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 443mg sodium.,"Easy Chicken Noodle Soup - 433.4mg sodium, 190.4 calories, 45 minutes prep time.",Easy Chicken Noodle Soup,True,exact,False,True,False,"{'calories_max': 443.0, 'sodium_max': 443.0}","{'calories': 190.4, 'sodium': 433.4, 'duration': 45.0}",[],"Easy Chicken Noodle Soup - 108 calories, 11.2g protein, 586mg sodium, ready in 30 minutes, serves 8. Ingredients: {'': [('chicken broth', '1 time(s) (46 ounce) can '), ('boneless skinless chicken, cubed', '0.5 time(s) lb '), ('uncooked egg noodles', '2  time(s) cups '), ('sliced carrot', '1  time(s) cup '), ('chopped onion', '0.5 time(s) cup '), ('sliced celery', '0.3333333333333333 time(s) cup '), ('dill weed', '1  time(s) teaspoon '), ('ground black pepper', '0.25 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 45 minutes.,"Chicken Sausage and Shrimp Gumbo - Takes 40 minutes, 288.4 calories, serves 4.",Chicken Sausage and Shrimp Gumbo,True,fuzzy,False,True,False,{'duration_max': 45.0},"{'calories': 288.4, 'duration': 40.0, 'serves': 4.0}",[],"Chicken, Sausage and Shrimp Gumbo - 1148 calories, 62.0g protein, 1606mg sodium, ready in 200 minutes, serves 8. Ingredients: {'': [('chicken, cut into pieces', '1  time(s) '), ('smoked sausage or 1 lb $template2$', '1  time(s) lb '), ('oil', '1  time(s) cup '), ('flour', '1 1/2 time(s) cups '), ('chopped onions', '2  time(s) cups '), ('chopped celery', '2  time(s) cups '), ('chopped bell pepper', '1  time(s) cup '), ('diced garlic', '0.25 time(s) cup '), ('quarts chicken stock', '3  time(s) '), ('button mushrooms', '24  time(s) '), ('sliced green onions', '2  time(s) cups '), ('bay leaf', '1  time(s) '), ('thyme', '1  time(s) sprig '), ('chopped basil', '1  time(s) tablespoon '), ('salt', ' time(s) '), ('cracked pepper, to taste', ' time(s) '), ('tabasco sauce or hot sauce, to taste', ' time(s) '), ('chopped fresh parsley', '0.5 time(s) cup '), ('package frozen cooked shrimp', '1 time(s) (1 lb) '), ('cooked white rice', '4  time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe around 1967 calories.,"Lamb Kofta - 1967.2 calories, 31.8g protein, ready in 40 minutes.",Lamb Kofta,True,substring,False,True,False,"{'calories_min': 1917.0, 'calories_max': 2017.0}","{'calories': 1967.2, 'protein': 31.8, 'duration': 40.0}",[],"Lamb Kofta With Yogurt Sauce - 543 calories, 31.2g protein, 844mg sodium, ready in 40 minutes, serves 4. Ingredients: {'': [('spray', ' time(s) olive oil flavored cooking '), ('slices bread, lightly toasted (day-old crusty white bread)', '2  time(s) '), ('medium onion, quartered', '1  time(s) '), ('fresh flat leaf parsley, loosely packed', '0.5 time(s) cup '), ('fresh mint leaves, loosely packed', '0.25 time(s) cup '), ('garlic cloves', '2  time(s) '), ('cumin', '0.5 time(s) teaspoon '), ('ground cinnamon', '0.5 time(s) teaspoon '), ('chili powder', '0.5 time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon '), ('fresh ground pepper', '0.25 time(s) teaspoon '), ('fresh ginger, grated (or finely minced)', '1  time(s) tablespoon '), ('thai red curry paste', '0.5 time(s) tablespoon '), ('large egg', '1  time(s) '), ('ground lamb', '0.5 time(s) lb '), ('ground turkey', '0.5 time(s) lb '), ('large round pita breads', '4  time(s) '), ('medium tomatoes, diced', '2  time(s) ')], 'yogurt sauce': [('plain yogurt (greek-style is good)', '1  time(s) cup '), ('fresh dill, chopped', '1  time(s) tablespoon '), ('small cucumber, peeled, seeded, and finely diced', '1  time(s) '), ('fresh lemon juice', '1  time(s) teaspoon '), ('salt & fresh ground pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 120 minutes.,"Chocolate Mousse - Takes 105 minutes, 263.0 calories, serves 1.",Chocolate Mousse,True,exact,True,True,False,{'duration_max': 120.0},"{'calories': 263.0, 'duration': 105.0, 'serves': 1.0}",[],"Chocolate Mousse - 124 calories, 5.8g protein, 8mg sodium, ready in 15 minutes, serves 6. Ingredients: {'': [('silken tofu', '16  time(s) ounces '), ('semisweet chocolate, melted', '0.75 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 6g fiber.,"Raspberry and Lemon Shortbread Cookies - 7.4g dietary fiber, 235.9 calories, 45.3g total carbs.",Raspberry and Lemon Shortbread Cookies,True,fuzzy,False,True,False,{'fiber_min': 6.0},"{'calories': 235.9, 'fiber': 7.4}",[],"Cranberry Lemon Shortbread Cookies - 96 calories, 0.8g protein, 18mg sodium, ready in 45 minutes, serves 36. Ingredients: {'': [('unsalted butter, at room temperature', '0.5 time(s) lb '), ('light brown sugar', '0.5 time(s) cup '), ('yolk', '1  time(s) egg '), ('finely grated lemon zest', '1  time(s) teaspoon '), ('all-purpose flour', '1 3/4 time(s) cups '), ('salt', '0.25 time(s) teaspoon '), ('dried sweetened cranberries, finely chopped', '0.5 time(s) cup ')], 'icing': [('icing sugar', '/ time(s) cup '), ('cranberry juice', '/ time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 70 minutes.,"Sausage and Pepper Grilled Pizza - Takes 65 minutes, 327.7 calories, serves 1.",Sausage and Pepper Grilled Pizza,False,,False,True,False,{'duration_max': 70.0},"{'calories': 327.7, 'duration': 65.0, 'serves': 1.0}",[],"Cranberry-Orange Caramel Corn - 97 calories, 0.8g protein, 74mg sodium, ready in 40 minutes, serves 20. Ingredients: {'': [('popcorn, popped', '12  time(s) cups '), ('dried cranberries', '1  time(s) cup '), ('whole almond', '0.5 time(s) cup '), ('butter', '0.5 time(s) cup '), ('brown sugar, packed', '0.5 time(s) cup '), ('corn syrup (light color)', '0.25 time(s) cup '), ('orange juice', '2  time(s) tablespoons '), ('vanilla', '2  time(s) teaspoons '), ('baking soda', '0.5 time(s) teaspoon ')]}",replace_with_dataset,hallucinated title but dataset had a recipe satisfying constraints
List a low-sodium recipe under 292mg sodium.,"Creamy Chicken Soup - 277.8mg sodium, 264.9 calories, 20 minutes prep time.",Creamy Chicken Soup,True,exact,False,True,False,"{'calories_max': 292.0, 'sodium_max': 292.0}","{'calories': 264.9, 'sodium': 277.8, 'duration': 20.0}",[],"Creamy Chicken Soup - 481 calories, 34.5g protein, 719mg sodium, ready in 50 minutes, serves 4. Ingredients: {'': [('margarine', '1  time(s) tablespoon '), ('vegetable oil', '1  time(s) tablespoon '), ('boneless skinless chicken breast, cut into 3/4 inch cubes', '1  time(s) lb '), ('quart chicken stock, i recommend $notetemplate1$', '1  time(s) '), ('medium carrots, peeled and thinly sliced', '2  time(s) '), ('stalks celery, thinly sliced', '2  time(s) '), ('large yellow onion, finely chopped', '1  time(s) '), ('long-grain white rice', '0.5 time(s) cup '), ('parsley, minced', '2  time(s) tablespoons '), ('salt', '0.25 time(s) teaspoon '), ('black pepper', '0.125 time(s) teaspoon '), ('cornstarch', '2  time(s) tablespoons '), ('half-and-half cream', '1  time(s) cup '), ('pinch ground nutmeg', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 7g fiber.,"Baked Chicken and Artichoke Pasta - 8.3g dietary fiber, 470.7 calories, 40.4g total carbs.",Baked Chicken and Artichoke Pasta,True,fuzzy,False,True,False,{'fiber_min': 7.0},"{'calories': 470.7, 'fiber': 8.3}",[],"Baked Chicken and Artichokes - 226 calories, 30.3g protein, 125mg sodium, ready in 40 minutes, serves 4. Ingredients: {'': [('olive oil', '1  time(s) tablespoon '), ('onion, chopped', '1  time(s) '), ('cloves garlic, minced', '2  time(s) '), ('frozen artichoke hearts, quartered', '1 time(s) (9 ounce) bag '), ('sliced mushrooms', '1  time(s) cup '), ('red pepper, seeded and sliced into strips', '1  time(s) '), ('salt', ' time(s) '), ('fresh ground black pepper', ' time(s) '), ('boneless skinless chicken breasts, about', '4 time(s) (4 ounce) '), ('chopped fresh rosemary', '1  time(s) teaspoon '), ('dry white wine', '0.25 time(s) cup '), ('low sodium chicken broth', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 647mg sodium.,"Chicken & Artichoke Casserole - 639.2mg sodium, 334.8 calories, 30 minutes prep time.",Chicken & Artichoke Casserole,True,exact,False,True,False,"{'calories_max': 647.0, 'sodium_max': 647.0}","{'calories': 334.8, 'sodium': 639.2, 'duration': 30.0}",[],"Chicken & Artichoke Casserole - 619 calories, 52.9g protein, 1603mg sodium, ready in 90 minutes, serves 4. Ingredients: {'': [('chicken broth', '2  time(s) cans '), ('boneless skinless chicken breasts', '6  time(s) '), ('artichoke heart, drained and cut in half', '1  time(s) can '), ('of sliced fresh mushrooms', '8  time(s) ounces '), ('butter, divided', '0.5 time(s) cup '), ('half-and-half', '0.75 time(s) cup '), ('dry sherry', '2  time(s) tablespoons '), ('salt', '0.125 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('parmesan cheese', '0.5 time(s) cup '), ('flour', '0.25 time(s) cup '), ('rosemary', '0.5 time(s) teaspoon '), ('chopped roma tomatoes', '2  time(s) '), ('box orzo pasta (or any pasta)', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 260 calories.,"Lemon-Poppy Seed Pound Cake - 260.1 calories, 2.1g protein, ready in 55 minutes.",Lemon,True,substring,False,True,False,{'calories_max': 260.0},"{'calories': 260.1, 'protein': 2.1, 'duration': 55.0}",[],"Lemon Chicken Vegetable Stir-Fry - 287 calories, 32.3g protein, 648mg sodium, ready in 30 minutes, serves 4. Ingredients: {'': [('boneless skinless chicken breast, cut into thin strips', '1  time(s) lb '), ('vegetable oil', '1  time(s) tablespoon '), ('onion, sliced', '1  time(s) '), ('baby carrots cut in half lengthwise)', '2  time(s) carrots, diagonally sliced (or 1 cup '), ('garlic cloves, crushed and chopped (or pressed)', '6  time(s) '), ('finely chopped gingerroot', '0.25 time(s) cup '), ('pinch hot pepper flakes', '1  time(s) '), ('all-purpose flour', '2  time(s) tablespoons '), ('milk', '1 1/2 time(s) cups '), ('large lemon, zest of', '1  time(s) '), ('red sweet bell pepper, cut in strips', '1  time(s) '), ('green bell pepper, cut in strips', '1  time(s) '), ('soy sauce', '2  time(s) tablespoons '), ('lemon juice', '2  time(s) tablespoons '), ('green onions, sliced on the diagonal', '3  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 30 minutes.,"Cherry Pie - Takes 25 minutes, 370.2 calories, serves 8.",Cherry Pie,True,exact,False,True,False,{'duration_max': 30.0},"{'calories': 370.2, 'duration': 25.0, 'serves': 8.0}",[],"Cherry Pie - 372 calories, 3.5g protein, 246mg sodium, ready in 65 minutes, serves 8. Ingredients: {'': [('sour cherries, packed in water', '1 time(s) (16 ounce) can '), ('cornstarch', '2 1/2 time(s) tablespoons '), ('granulated sugar', '1  time(s) cup '), ('salt, pinch', ' time(s) '), ('fresh lemon juice', '2  time(s) teaspoons '), ('almond extract', '0.25 time(s) teaspoon '), ('frozen 9-inch pie shells', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 326 calories.,"Chicken With Sun-Dried Tomatoes - 326.1 calories, 21.9g protein, ready in 30 minutes.",Chicken With Sun,True,substring,True,True,False,{'calories_max': 326.0},"{'calories': 326.1, 'protein': 21.9, 'duration': 30.0}",['sun-dried tomatoes - 326'],"Chicken With Sun-Dried Tomato Dressing - 304 calories, 31.8g protein, 907mg sodium, ready in 95 minutes, serves 4. Ingredients: {'': [('4 $template2$ or 4 $template3$', '4  time(s) '), ('bottled sun-dried tomato and oregano salad dressing', '0.5 time(s) cup '), ('bottle chopped garlic or 2 $template2$, minced', '1 time(s) (1 tablespoon) '), ('dried italian seasoning', '1  time(s) teaspoon '), ('salt', '1  time(s) teaspoon '), ('ground black pepper', '1  time(s) teaspoon '), ('chopped fresh basil (optional)', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a balanced meal with moderate calories and good protein.,"Easy Chicken Salad - 245.4 calories, 16.8g protein, 16.7g fat, 2.1g carbs.",Easy Chicken Salad,True,exact,True,True,False,{'balanced': True},"{'calories': 245.4, 'protein': 16.8, 'carbs': 2.1, 'total_fat': 16.7}",[],"Easy Chicken Salad - 130 calories, 27.2g protein, 77mg sodium, ready in 30 minutes, serves 2. Ingredients: {'': [('boneless skinless chicken breasts', '2  time(s) '), ('onion (optional)', '0.5 time(s) '), ('green pepper (optional)', '0.5 time(s) '), ('salt and pepper', ' time(s) '), ('mayonnaise (low fat/low carb mayo works just as well)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
